Lead I,Lead II,Lead III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.1985565819861432,0.2463844967219437,0.4093872229465449,0.7780016970725498,0.2595088520845232,0.2733669879149457,0.5163365325709618,0.3165807560137457,0.5380201958384333,0.476644555002764,0.4391838351822504,0.393934330353413
0.1975173210161663,0.2457096027767065,0.4098613251155624,0.7788502333474755,0.258252427184466,0.2729845494875325,0.5236879722278945,0.3234536082474227,0.5428396572827417,0.4795006449235305,0.4410063391442155,0.3969003258417579
0.2028290993071594,0.2495179328962591,0.4084390186085102,0.7742893508697496,0.2643061107938321,0.2755086431084595,0.5358382683275474,0.3383447880870561,0.5510250917992656,0.4836005159388244,0.4457606973058637,0.4027905422341048
0.2030600461893764,0.2491804859236406,0.4071352376437122,0.7743423843869325,0.2651056539120503,0.2748967416245984,0.5325709618133551,0.3311855670103092,0.5488831089351285,0.4810668877833057,0.4451267828843107,0.4035007101679339
0.1945150115473441,0.2417084458156575,0.4061870333056774,0.7824034789987272,0.2571102227298686,0.2686247514150222,0.518991219113743,0.3052691867124857,0.5356487148102815,0.47254468398747,0.4393819334389858,0.3971509733478152
0.190473441108545,0.2387678364828384,0.4072537631859665,0.785850657615613,0.2526556253569389,0.2666360715924736,0.5133755360424749,0.3009736540664375,0.530905752753978,0.4709784411276949,0.4362519809825674,0.3943103016124989
0.1965357967667436,0.2446972618588507,0.4093872229465449,0.779804836656767,0.2575671045117076,0.2719902095762582,0.5217480089850929,0.3121420389461626,0.5348072215422276,0.4741569928137092,0.4385103011093502,0.3966496783357005
0.2000577367205543,0.250578480524489,0.4166172810240606,0.7749787865931269,0.2575671045117076,0.2790270766406608,0.536552991627527,0.3274627720504008,0.5435281517747858,0.4776119402985075,0.4427892234548336,0.4006182638482747
0.1900115473441108,0.2500964134207482,0.436055469953775,0.7798578701739498,0.238263849229012,0.2849166284228239,0.5375740249132122,0.3267468499427262,0.5452876376988984,0.4770130827344758,0.4433042789223455,0.4009524605230178
0.1810046189376443,0.2440705746239876,0.43972976176366,0.7872825625795502,0.2276413478012564,0.28132170720514,0.5264447620992444,0.3081328751431844,0.5361842105263157,0.4701492537313433,0.4377179080824089,0.3952711170523853
0.18135103926097,0.2419012726571539,0.4336849591086879,0.7883432329232074,0.2308395202741291,0.2776502983019733,0.5244026955278742,0.3065578465063001,0.5336597307221542,0.4696885940667035,0.4370839936608558,0.3943103016124989
0.1906466512702078,0.2489876590821442,0.4320256015171269,0.780176071277047,0.240890919474586,0.2826984855438274,0.536757198284664,0.3323310423825887,0.5452876376988984,0.4768748848350839,0.4431854199683043,0.4000751942518172
0.1969976905311778,0.2572310065561126,0.4391371340523883,0.7726983453542638,0.2437464306110794,0.2915710570598134,0.5508474576271186,0.3556701030927834,0.5557680538555692,0.4833241201400405,0.4491283676703645,0.4055058902163923
0.1989607390300231,0.2595449286540686,0.4409150171862036,0.7705239711497666,0.244774414620217,0.2939421753097751,0.5515621809270982,0.3523768613974799,0.5542380660954712,0.4817118113138013,0.4487321711568938,0.405255242710335
0.1934757505773672,0.2541457770921712,0.4389000829678795,0.776039456936784,0.2403198172472873,0.2890469634388863,0.536552991627527,0.3321878579610538,0.5442166462668299,0.4761838953381243,0.443621236133122,0.400158743420503
0.1934180138568129,0.2521693019668338,0.4341590612777053,0.7771531607976241,0.2424900057110223,0.2859874560195808,0.5344088217275883,0.3238831615120275,0.5402386780905752,0.4742491247466372,0.4409667194928685,0.3966079037513577
0.1995958429561201,0.2543386039336676,0.4268104776579353,0.7731226134917267,0.2521987435751,0.2852990668502371,0.5414539513988155,0.3386311569301259,0.546282129742962,0.478671457527179,0.4444136291600634,0.3995321246553596
0.2084295612009238,0.2590146548399537,0.420054521749437,0.7664934238438693,0.2641918903483723,0.2868288205598898,0.5477843577700633,0.3523768613974799,0.5520960832313342,0.4834162520729685,0.4495641838351822,0.4045868493608488
0.2068129330254041,0.2594003085229464,0.4244399668128482,0.7670237590156979,0.2605368360936608,0.2885115496405079,0.5432918113130488,0.3459335624284078,0.5511015911872705,0.4817578772802653,0.4498019017432647,0.4054223410477066
0.2009815242494226,0.2518318549942152,0.4178025364466042,0.7738650827322868,0.2579097658480868,0.2804038549793483,0.5278742086992035,0.3207331042382589,0.5377141982864136,0.4739727289478533,0.4431854199683043,0.3995738992397026
0.1927829099307159,0.2429618202853837,0.4129429892141756,0.7825095460330929,0.2520845231296402,0.2718372342052929,0.5259342454564019,0.3072737686139747,0.5318237454100367,0.4708863091947669,0.4388668779714739,0.3956470883114713
0.1920900692840647,0.2498553798688777,0.4311959227213464,0.7790093338990242,0.242604226156482,0.2831574116567232,0.5360424749846844,0.3148625429553264,0.5377141982864136,0.4723604201216141,0.4402139461172741,0.3962319324922717
0.1954387990762124,0.2566525260316236,0.441033542728458,0.773759015697921,0.2412335808109652,0.2917240324307786,0.5482948744129058,0.32946735395189,0.5463586291309669,0.4769209508015478,0.4449683042789223,0.4006600384326176
0.1901270207852194,0.2544350173544157,0.4466042432144126,0.7774183283835383,0.2333523700742433,0.2918005201162613,0.5450275678987134,0.3234536082474227,0.5444461444308445,0.4756311037405565,0.4425911251980983,0.3986966329685019
0.1831986143187067,0.2481199382954107,0.4451819367073604,0.7840475180313958,0.2271844660194175,0.2862934067615114,0.5312436185419644,0.299971363115693,0.5335832313341493,0.4684448129721761,0.4353011093502377,0.3909265602807252
0.1800230946882217,0.2419012726571539,0.4364110465805381,0.7889796351294017,0.2282124500285551,0.2784916628422824,0.5255258321421278,0.2899484536082474,0.5261627906976744,0.4655426570849457,0.4317749603803487,0.3864984543403792
0.1877598152424942,0.2444080215966062,0.4268104776579353,0.7839944845142129,0.2405482581382068,0.2774208352455254,0.5389013681846028,0.3055555555555555,0.536031211750306,0.4700110558319514,0.4357369255150555,0.3908430111120394
0.1938221709006928,0.2507231006556112,0.4297736162142941,0.7777895630038184,0.2450028555111365,0.2833868747131711,0.549315907698591,0.3233104238258877,0.5462056303549572,0.4754007739082366,0.440689381933439,0.3966079037513577
0.1913972286374134,0.2499517932896259,0.4328552803129074,0.7792745014849385,0.2412335808109652,0.2837693131405843,0.5446191545844394,0.3194444444444444,0.5444461444308445,0.4742951907131011,0.4404516640253566,0.3967332275043863
0.1833140877598152,0.2424797531816429,0.431077397179092,0.7871234620280017,0.2340376927470017,0.2772678598745602,0.5314478251991014,0.2958190148911798,0.533047735618115,0.4674774276764327,0.4360935023771791,0.392096248642326
0.1801385681293303,0.2383339760894716,0.427403105369207,0.7908358082308018,0.2326670474014849,0.2728315741165672,0.5241984888707372,0.2856529209621993,0.5281517747858018,0.4656808549843376,0.4338351822503962,0.3903834906842677
0.183487297921478,0.2432992672580023,0.4326182292283986,0.786593126856173,0.2334665905197031,0.2784151751567997,0.5389013681846028,0.3031214203894616,0.5359547123623011,0.4710245070941589,0.4385103011093502,0.3944773999498704
0.1913972286374134,0.2502410335518704,0.4335664335664335,0.7791154009333899,0.240890919474586,0.2842282392534802,0.5471717377986522,0.3142898052691866,0.543375152998776,0.4740648608807813,0.4419968304278922,0.3971927479321581
0.1870669745958429,0.2504820671037409,0.443048476946782,0.7809715740347899,0.2319817247287265,0.2875172097292336,0.5404329181131304,0.3036941580756013,0.5395501835985312,0.4724986180210061,0.439500792393027,0.3959395104018715
0.1797344110854503,0.2458542229078287,0.446722768756667,0.7869113279592702,0.2229583095374072,0.2849931161083066,0.5240963855421686,0.2766323024054983,0.5256272949816402,0.4654044591855538,0.4336370839936608,0.3901746177625533
0.1760969976905312,0.2417084458156575,0.4438781557425625,0.7908358082308018,0.2207881210736722,0.2807862934067615,0.522564835613641,0.2674684994272622,0.5198133414932681,0.4617191818684357,0.4303882725832013,0.387709917286323
0.1810046189376443,0.2461434631700732,0.4448263600805974,0.7861688587187102,0.2251284980011422,0.2846106776808934,0.5387992648560342,0.2827892325315005,0.5283047735618115,0.4674313617099687,0.4348256735340729,0.392806416576155
0.1836605080831409,0.2486502121095256,0.4455375133341235,0.7835702163767501,0.227412906910337,0.2868288205598898,0.5489074943843169,0.2948167239404353,0.5351132190942472,0.4712548369264787,0.4376782884310618,0.3959812849862144
0.1811778290993071,0.2447936752795989,0.4411520682707123,0.7868582944420873,0.2270702455739578,0.2823925348018968,0.5483969777414743,0.2975372279495991,0.5346542227662179,0.4695503961673116,0.436608557844691,0.3939761049377558
0.1725750577367205,0.2346702661010412,0.4339220101931966,0.7963512940178192,0.2220445459737293,0.2719902095762582,0.5448233612415764,0.2869415807560137,0.5270807833537332,0.4632854247282108,0.4309033280507132,0.3881694377140947
0.1715935334872979,0.2314886232163517,0.4281142586227331,0.7985256682223165,0.2238720731010851,0.2676304115037479,0.5448233612415764,0.2882302405498281,0.5260862913096696,0.4631472268288189,0.4297147385103011,0.387333946027237
0.1801963048498845,0.2388160431932125,0.4284698352494963,0.7905706406448875,0.2322101656196459,0.273519963285911,0.5623851337553604,0.315721649484536,0.5380201958384333,0.4701031877648793,0.4352218700475436,0.3927646419918122
0.186662817551963,0.2460952564596992,0.4330923313974161,0.7835702163767501,0.2364363221016562,0.2807862934067615,0.5806616295691239,0.3416380297823597,0.552937576499388,0.4775198083655795,0.4406101426307449,0.3981117887877015
0.1835450346420323,0.2441187813343617,0.4346331634467227,0.7861158252015272,0.2325528269560251,0.2797154658100045,0.5829079027976312,0.3439289805269186,0.5550795593635252,0.4762760272710522,0.4396988906497623,0.3970256495947865
0.1755196304849884,0.2370323949093713,0.4336849591086879,0.7936996181586763,0.2251284980011422,0.2737494263423589,0.5807637328976925,0.3326174112256586,0.5504895960832313,0.4724525520545421,0.4350633914421553,0.3923051215640404
0.1774249422632794,0.2361646741226378,0.4276401564537158,0.7933283835383962,0.2298115362649915,0.2711488450359492,0.5930161323259138,0.3410652920962199,0.5556150550795593,0.474663718444813,0.4356973058637084,0.3925557690700977
0.183256351039261,0.2418048592364057,0.4295365651297854,0.7875477301654645,0.2347230154197601,0.2761970322778033,0.6196651010822952,0.3709908361970217,0.5695379436964504,0.4832780541735766,0.4409667194928685,0.3979864650346729
0.1840646651270208,0.2449382954107211,0.4355813677847576,0.7854263894781501,0.2326670474014849,0.2806333180357962,0.6442720032673064,0.3876002290950744,0.5778763769889841,0.4859038142620233,0.4439778129952457,0.4005347146795889
0.177540415704388,0.2455649826455842,0.4505155861088064,0.7880780653372931,0.2189605939463164,0.2859874560195808,0.6520318562385133,0.3754295532646048,0.5747399020807833,0.4814354155150175,0.4404912836767036,0.3979029158659871
0.1685334872979215,0.2411781720015426,0.4582197463553395,0.7946542214679677,0.2062821245002856,0.2849931161083066,0.6458035531958342,0.3370561282932417,0.557374541003672,0.4713469688594067,0.4316164817749604,0.3889631548166095
0.1652424942263279,0.2403586579251832,0.4629607680455138,0.7966164616037335,0.2007995431182181,0.2858344806486155,0.6505003063099857,0.3087056128293241,0.5446756425948592,0.4660033167495854,0.4270998415213946,0.3840755284484919
0.1643764434180138,0.2438777477824913,0.4735095413061515,0.7950784896054306,0.1948600799543118,0.2920299831727092,0.6680620788237697,0.3044100801832761,0.5472001223990207,0.468813340703888,0.4297147385103011,0.3866237780934079
0.1670900692840647,0.2509641342074817,0.4852435699893327,0.7899342384386933,0.1918903483723587,0.3014379684870735,0.6793955482948744,0.3004009163802978,0.5501070991432069,0.470840243228303,0.4316957210776545,0.3896733227504386
0.1612586605080831,0.2516872348630929,0.498992532890838,0.7922146796775562,0.179554540262707,0.3064861557289276,0.6684704921380437,0.2773482245131729,0.5449816401468788,0.4673392297770407,0.4306259904912837,0.3892973514913527
0.1589491916859122,0.2461434631700732,0.4899845916795068,0.7962982605006363,0.1814962878355226,0.2992198256080771,0.6255870941392688,0.242983963344788,0.5310587515299877,0.4604293348074443,0.425039619651347,0.3837831063580917
0.1663394919168591,0.2470593906671808,0.4771838331160365,0.7924268137462877,0.1950885208452313,0.2957778797613584,0.5802532162548498,0.2290950744558992,0.5272337821297429,0.4619034457342915,0.4246830427892235,0.3834906842676915
0.178175519630485,0.2496143463170073,0.4591679506933744,0.7855854900296987,0.2154197601370645,0.2919534954872265,0.5484990810700429,0.2416953035509736,0.5332007343941249,0.4678920213746084,0.4303486529318542,0.3890467039852953
0.1877598152424942,0.2473486309294254,0.4339220101931966,0.7824034789987272,0.2371216447744146,0.2820100963744837,0.5251174188278538,0.2585910652920962,0.5369492044063647,0.4705638474295191,0.4330427892234549,0.392430445317069
0.1885103926096998,0.2404550713459313,0.4153135000592627,0.785850657615613,0.2467161621930325,0.2706134312375707,0.5154176026138452,0.2707617411225658,0.5354192166462668,0.4677998894416805,0.4306259904912837,0.3894226752443813
0.1881639722863741,0.2349595063632857,0.4026312670380467,0.7890326686465846,0.2525414049114792,0.262123298148998,0.5092914028997345,0.265750286368843,0.528687270501836,0.4633314906946748,0.4266244057052298,0.3842844013702063
0.1893187066974596,0.2341399922869263,0.3982458219746355,0.7889796351294017,0.2557395773843518,0.2600581306409668,0.5129671227282009,0.2757731958762887,0.5336597307221542,0.4662336465819053,0.4279714738510302,0.3852869913944356
0.1986143187066975,0.2405996914770536,0.3950456323337679,0.7811306745863386,0.2664762992575671,0.2641884656570292,0.528180518684909,0.3101374570446735,0.5475061199510404,0.4751704440759167,0.4351822503961965,0.3919291503049544
0.2045612009237875,0.2441669880447358,0.3917269171506459,0.7764637250742469,0.2740148486579098,0.2659476824231299,0.5368593016132325,0.3297537227949598,0.5562270501835985,0.4795006449235305,0.4403328050713154,0.3969003258417579
0.2013856812933025,0.2389124566139606,0.3852080123266564,0.7808124734832413,0.2740148486579098,0.2596756922135536,0.5327751684704921,0.3161512027491408,0.549189106487148,0.4753547079417726,0.4372424722662441,0.3943103016124989
0.1942263279445727,0.2317778634785962,0.3824819248548062,0.7879719983029274,0.2683038263849229,0.2530977512620468,0.5207269756994077,0.2909507445589919,0.5339657282741738,0.4676156255758246,0.4303882725832013,0.3870832985211797
0.1919168591224018,0.2289818742768993,0.3803484650942278,0.7905706406448875,0.2670474014848658,0.2501912192137066,0.5197059424137227,0.2820733104238259,0.5283047735618115,0.4651280633867699,0.4272979397781299,0.3838666555267774
0.1945150115473441,0.2344292325491708,0.3882896764252697,0.7863809927874417,0.2657909765848087,0.2570751109071439,0.5364508882989585,0.3031214203894616,0.5408506731946144,0.4718536944905104,0.4332805071315372,0.3895062244130671
0.2002309468822171,0.2401658310836869,0.3906601872703568,0.7806003394145099,0.2702455739577384,0.2624292488909285,0.5429855013273432,0.3141466208476517,0.5464351285189718,0.4752165100423807,0.4363312202852615,0.3927646419918122
0.1967667436489607,0.2384785962205939,0.3936233258267156,0.7831459482392872,0.2654483152484295,0.2619703227780327,0.5362466816418214,0.295389461626575,0.5386321909424725,0.470609913395983,0.4324088748019017,0.3888796056479238
0.1853926096997691,0.2312957963748554,0.399431077397179,0.7923207467119219,0.2513992004568818,0.2582224261893835,0.5247090055135797,0.2700458190148911,0.5240973072215422,0.4623641053989313,0.4248811410459588,0.3808171108697468
0.1844110854503464,0.2281141534901658,0.3935048002844613,0.794548154433602,0.2532267275842376,0.2537096527459079,0.5220543189707983,0.265750286368843,0.5207313341493268,0.4615809839690437,0.4236925515055468,0.3782270866404879
