Lead I,Lead II,Lead III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.2321016166281755,0.2578094870806016,0.3686144364110466,0.7562579550275774,0.3123929183323815,0.2693131405843659,0.5985297120686134,0.1708190148911798,0.4605263157894737,0.4301639948406118,0.3909667194928685,0.3588854540897317
0.2355658198614319,0.2579059005013498,0.3616214294180396,0.7546139159949088,0.3192461450599658,0.2670949977053694,0.5478864610986318,0.1416093928980527,0.4502753977968176,0.4261562557582459,0.387797147385103,0.3570473723786448
0.245554272517321,0.2569899730042422,0.3389830508474576,0.7505303351718285,0.3399200456881782,0.2590637907296925,0.509189299571166,0.138459335624284,0.4488984088127294,0.4280910263497328,0.3894215530903329,0.3585512574149887
0.2549076212471132,0.2539529502506749,0.3123148038402276,0.7479316928298685,0.3620788121073672,0.2480495640201927,0.4861139473146824,0.1622279495990836,0.4556303549571603,0.4342177998894417,0.3952060221870047,0.3643161500543069
0.2596997690531178,0.2489394523717701,0.290150527438663,0.7485150615188799,0.3774985722444318,0.2369588496252103,0.4797835409434347,0.1827033218785796,0.4606028151774786,0.4360143725815367,0.3967908082408874,0.3654858384159077
0.2558891454965358,0.2395873505591978,0.2749792580301055,0.7553563852354688,0.3810394060536837,0.2246443322625057,0.4689605881151725,0.1758304696449026,0.4530293757649938,0.4294269393771882,0.391244057052298,0.3600551424513326
0.2500577367205542,0.2330794446586965,0.2710679151357117,0.7616673737802291,0.3771559109080526,0.2181428789964815,0.4621196651010822,0.1705326460481099,0.4444614443084455,0.4249585406301824,0.3875198098256735,0.3557523602640154
0.2553695150115473,0.23394716544543,0.2620599739243807,0.7586974968179889,0.3867504283266705,0.2160012238029677,0.4663059015723912,0.1898625429553264,0.4498929008567931,0.4299336650082919,0.3913629160063391,0.3583423844932743
0.2661662817551963,0.241419205553413,0.2583856821144957,0.7496287653797199,0.3992004568817818,0.2207434603028912,0.4845823973861548,0.2192153493699885,0.4629742962056303,0.4384098028376635,0.3981774960380349,0.3656529367532793
0.2683025404157044,0.243733127651369,0.2596894630792936,0.7474013576580398,0.4006853226727584,0.2229616031818877,0.4922401470287931,0.2239404352806414,0.4657282741738066,0.4393311221669431,0.3994453248811411,0.3671150472052803
0.2616628175519631,0.2377072888546085,0.25850420765675,0.753765379719983,0.3946316390633924,0.2177604405690683,0.478456197672044,0.1987399770904925,0.4511933904528764,0.4306246545052515,0.3931458003169572,0.3604311137104186
0.2553117782909931,0.2302834554569996,0.2532890837975584,0.7607658039881204,0.3909765848086808,0.2101881597062873,0.4687563814580354,0.179410080183276,0.4390299877600979,0.4231159019716234,0.3870839936608558,0.3541649260589857
0.2572170900692841,0.2328866178172002,0.2558966457271542,0.7584853627492575,0.3915476870359795,0.2130946917546275,0.4783540943434755,0.1865693012600228,0.4436199510403917,0.4267551133222775,0.3889857369255151,0.356587851950873
0.2626443418013857,0.2442151947551099,0.2726087471850184,0.7497348324140857,0.3889206167904055,0.2275508643108459,0.4923422503573616,0.2054696449026345,0.4532588739290085,0.4329740187949143,0.3935023771790808,0.3609324087225332
0.2632794457274827,0.245420362514462,0.274149579234325,0.7487802291047941,0.388692175899486,0.229004130335016,0.4985705534000408,0.2096219931271477,0.455171358629131,0.4340796019900498,0.3955625990491284,0.3633553346144206
0.2571593533487298,0.2399247975318164,0.2732013748962901,0.7546139159949088,0.3832095945174187,0.2243383815205751,0.4838676740861752,0.1821305841924398,0.4407894736842105,0.4252810023954303,0.3892234548335974,0.3566714011195588
0.2517321016166282,0.2347184728114153,0.2715420173047291,0.7599703012303776,0.3785265562535694,0.2196726327061343,0.4731468245864815,0.1666666666666666,0.4289320685434516,0.4189699649898655,0.3831616481774961,0.3511989305706408
0.2551963048498846,0.2366467412263787,0.2690529809173876,0.7573186253712346,0.3832095945174187,0.220361021875478,0.4802940575862772,0.1772623138602519,0.4329865361077111,0.4225170444075917,0.385419968304279,0.3534547581251566
0.2632217090069285,0.2447936752795989,0.2728457982695271,0.7491514637250741,0.3892632781267848,0.2280097904237417,0.496017970185828,0.1984536082474226,0.4445379436964504,0.4301179288741478,0.3914421553090333,0.3600551424513326
0.2672055427251732,0.2502410335518704,0.2779423965864643,0.744325413661434,0.3907481439177613,0.2340523175768701,0.5009189299571165,0.2011741122565864,0.4467564259485924,0.4311313801363552,0.3929477020602219,0.3611830562285905
0.2568706697459584,0.2452757423833397,0.2869503377977955,0.7518031395842172,0.3762421473443747,0.2329814899801132,0.4878497039003471,0.174971363115693,0.4340575275397796,0.4228395061728395,0.3864500792393027,0.3548750939928148
0.2484988452655889,0.2401658310836869,0.2915728339457153,0.7584323292320746,0.3657338663620788,0.2303809086737035,0.4779456810292015,0.1563573883161512,0.4231181150550795,0.4165745347337388,0.3813391442155309,0.3495697217812682
0.250635103926097,0.2432510605476282,0.2947730235865828,0.7557806533729317,0.3663049685893775,0.2338993422059048,0.4887686338574636,0.1699599083619702,0.4287025703794369,0.4206283397825687,0.3839936608557844,0.3524103935165845
0.2571593533487298,0.2501928268414963,0.2985658409387223,0.7489393296563428,0.3709880068532268,0.2406302585283769,0.505207269756994,0.1978808705612829,0.4414779681762545,0.4295651372765801,0.3908874801901743,0.3596791711922466
0.2586605080831409,0.252313922097956,0.3005807751570463,0.7470831565549427,0.3714448886350657,0.2430013767783387,0.509189299571166,0.2011741122565864,0.4434669522643819,0.4310853141698913,0.3927099841521395,0.3615590274876765
0.252309468822171,0.2510123409178558,0.3104183951641578,0.75074246924056,0.3603655054254712,0.2451430319718525,0.4989789667143148,0.1814146620847651,0.4354345165238678,0.4246821448313986,0.3885895404120444,0.3581752861559027
0.2509237875288684,0.2499035865792518,0.3105369207064122,0.7520152736529486,0.3589948600799543,0.2442251797460609,0.4883602205431896,0.1696735395189003,0.4283200734394125,0.4206283397825687,0.3853407290015848,0.3556688110953296
