Lead I,Lead II,Lead III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.4241780045351474,0.3747793468667255,0.2499999999999999,0.6037220843672456,0.5126782884310618,0.3440375248060616,0.8785374405209115,0.8723420241941543,0.6827068617558022,0.463544798556825,0.3322429906542056,0.3310640166904579
0.415391156462585,0.3659532215357458,0.2411214953271027,0.6125310173697271,0.5043581616481775,0.3350171387335378,0.8749060856498874,0.8660305056728529,0.6746342078708375,0.4553517739025857,0.3254205607476635,0.3230482046777204
0.3988095238095238,0.3520520741394528,0.2373831775700933,0.6275434243176179,0.4829635499207607,0.3229298213963557,0.862885048835462,0.855436171012097,0.662651362260343,0.4413710162357185,0.3126168224299065,0.3100911386845283
0.3918650793650794,0.343667255075022,0.2252336448598129,0.6352357320099257,0.4782091917591125,0.3139094353238318,0.8544953668920611,0.848147869862499,0.6510469223007063,0.4295700541190619,0.304018691588785,0.2999890194355989
0.3901643990929705,0.3414607237422771,0.2214953271028035,0.6372208436724566,0.4774167987321711,0.3112033195020747,0.8523666416228399,0.8444661507250733,0.6421543895055499,0.4218280216476248,0.29803738317757,0.2959262106072252
0.38109410430839,0.3318623124448367,0.2102803738317756,0.6466501240694789,0.4694928684627574,0.3012808948222983,0.8519909842223891,0.8390562777068148,0.6319374369323915,0.4118310282621767,0.2915887850467289,0.2937300977270231
0.3599773242630386,0.3127758164165931,0.1985981308411214,0.6666253101736973,0.4449286846275752,0.2834205303987009,0.8427247683446031,0.8261326921631977,0.615098385469223,0.3943926638604931,0.2781308411214953,0.280663226089821
0.3377267573696145,0.2926963812886143,0.1873831775700935,0.6875930521091812,0.4187797147385103,0.2648385350893018,0.8275732531930878,0.8106544443609587,0.5939076690211906,0.3737973541791942,0.2595327102803738,0.262435489184144
0.3245464852607709,0.2800088261253309,0.1771028037383177,0.700620347394541,0.4045166402535657,0.2523904023092188,0.8184322564487854,0.7996092869486813,0.5758703329969727,0.3554570054119061,0.2448598130841121,0.2490392006149116
0.3159013605442177,0.2707413945278022,0.166355140186916,0.7095533498759306,0.3969889064976228,0.2428287930723434,0.8132982719759579,0.7908182432940115,0.5597880928355197,0.3400481058328322,0.2347663551401868,0.2419018337542549
0.3007369614512471,0.2554060017652251,0.1514018691588783,0.7248138957816378,0.3819334389857369,0.2274941367490528,0.8076634109691961,0.7803741828837629,0.5442734611503531,0.3247143716175586,0.2227102803738317,0.2339958273855276
0.2766439909297052,0.2322374227714033,0.1327102803738319,0.7483870967741936,0.3561806656101426,0.2047627638462925,0.7947658402203855,0.7649710722067774,0.5228304742684157,0.3023902585688514,0.2059813084112149,0.2185132315801032
0.2558106575963719,0.2117166813768755,0.1144859813084109,0.768982630272953,0.3347860538827258,0.184557099043839,0.7772351615326821,0.7477646705237058,0.4988647830474268,0.2780366806975345,0.1849532710280373,0.1971011309981333
0.2403628117913832,0.1961606354810238,0.0995327102803736,0.7846153846153846,0.3197305863708399,0.1688616272776475,0.7647132481843225,0.7335637538507777,0.4784308779011099,0.2582681900180397,0.1691588785046728,0.181728340836719
0.2287414965986394,0.1852383053839364,0.0911214953271027,0.7957816377171216,0.3070522979397781,0.1583979794335198,0.7604557976458802,0.7243970245698399,0.4613395560040363,0.2417318099819603,0.1570093457943925,0.1734929175359613
0.215844671201814,0.1707855251544572,0.0728971962616821,0.8095533498759305,0.2967511885895404,0.1430633231102291,0.754320060105184,0.7146291982868735,0.4450681130171543,0.2269242333132892,0.1469158878504672,0.1652574942352036
0.1940192743764172,0.1488305383936451,0.0518691588785046,0.8315136476426799,0.2749603803486529,0.1210535810932707,0.7429251189581768,0.7002028702381847,0.4257694248234106,0.2064040889957907,0.1293457943925233,0.1507631492258702
0.1707766439909297,0.1299646954986761,0.0485981308411214,0.8522332506203475,0.2440570522979397,0.1049972938841782,0.7285249186075632,0.6847997595611992,0.4040741675075681,0.1847564642212868,0.1098130841121495,0.1328648292522235
0.1626984126984127,0.1249999999999999,0.0542056074766354,0.858560794044665,0.2301901743264658,0.10193036261952,0.7233909341347358,0.6774363212863475,0.3929112008072654,0.1731058328322309,0.1020560747663551,0.1248490172394861
0.1683673469387755,0.1310679611650485,0.061214953271028,0.852605459057072,0.2353407290015847,0.1084250405917373,0.7266466316053093,0.6802163949207303,0.3944878910191725,0.175210463018641,0.1062616822429906,0.1295706599319205
0.171485260770975,0.1322815533980582,0.0560747663551403,0.8506203473945411,0.2416798732171157,0.1084250405917373,0.7322814926120711,0.684273799684424,0.3976412714429868,0.1795700541190619,0.1107476635514018,0.135500164708466
0.165391156462585,0.1267652250661959,0.0532710280373833,0.8563275434243177,0.2345483359746434,0.1031932166696733,0.7304032056098171,0.6819445488015629,0.3965060544904136,0.1776157546602525,0.1087850467289719,0.132315801032173
0.1604308390022675,0.1216902030008826,0.0476635514018689,0.8614143920595534,0.2297939778129952,0.0981418004690601,0.7248935637365389,0.6771357727853332,0.3925327951564076,0.1726548406494287,0.1028971962616822,0.1257274623915669
0.1622732426303854,0.124117387466902,0.0518691588785046,0.8593052109181142,0.2305863708399366,0.1008479162908171,0.7230152767342849,0.6763092644075437,0.391523713420787,0.1714521948286229,0.1017757009345794,0.1239705720874052
0.1687925170068027,0.1305163283318623,0.0574766355140186,0.8528535980148884,0.2373217115689381,0.1071621865415839,0.7262709742048584,0.6801412577954767,0.3943617558022199,0.1752856283824413,0.1061682242990654,0.1284726034918194
0.1717687074829932,0.1322815533980582,0.0551401869158878,0.8504962779156328,0.2428684627575277,0.1080642251488363,0.7316553969446532,0.6836727026823952,0.397452068617558,0.1791190619362597,0.1104672897196261,0.1341824969803448
0.1662414965986394,0.1275375110326566,0.0532710280373833,0.8555831265508685,0.2357369255150554,0.1039148475554753,0.7319058352116202,0.6822450973025772,0.3960645812310797,0.1770144317498496,0.108411214953271,0.132315801032173
